movement_core,variant_count,example_names,fx_categories,curated_missing_match,example_primary_muscles,example_equipment,example_mechanic,example_level,mapped_category
intermediate groin stretch,1,Intermediate Groin Stretch,stretching,,hamstrings,other,isolation,intermediate,mobility
intermediate hip flexor quad stretch,1,Intermediate Hip Flexor and Quad Stretch,stretching,,quadriceps,other,compound,intermediate,mobility
inverted row,1,Inverted Row,strength,,middle back,,compound,beginner,compound
inverted row straps,1,Inverted Row with Straps,strength,,middle back,other,compound,beginner,compound
iron crosses stretch,1,Iron Crosses (stretch),stretching,,quadriceps,,compound,intermediate,mobility
isometric chest squeezes,1,Isometric Chest Squeezes,plyometrics,,chest,body only,compound,beginner,plyometric
isometric neck exercise front back,1,Isometric Neck Exercise - Front And Back,strength,,neck,body only,isolation,beginner,isolation
isometric neck exercise sides,1,Isometric Neck Exercise - Sides,strength,,neck,body only,isolation,beginner,isolation
isometric wipers,1,Isometric Wipers,strength,,chest,body only,compound,beginner,compound
jm press,1,JM Press,strength,,triceps,barbell,compound,beginner,compound
janda sit up,1,Janda Sit-Up,strength,,abdominals,body only,isolation,beginner,isolation
jefferson squats,1,Jefferson Squats,strength,,quadriceps,barbell,compound,intermediate,compound
jerk balance,1,Jerk Balance,olympic weightlifting,,shoulders,barbell,compound,intermediate,compound
jerk dip squat,1,Jerk Dip Squat,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
jogging treadmill,1,"Jogging, Treadmill",cardio,,quadriceps,machine,,beginner,cardio
keg load,1,Keg Load,strongman,,lower back,other,compound,intermediate,compound
dead clean,1,Kettlebell Dead Clean,strength,,hamstrings,kettlebells,compound,intermediate,compound
figure 8,1,Kettlebell Figure 8,strength,,abdominals,kettlebells,,intermediate,MANUELL
legged deadlift,1,Kettlebell One-Legged Deadlift,strength,,hamstrings,kettlebells,compound,intermediate,compound
pass between,1,Kettlebell Pass Between The Legs,strength,,abdominals,kettlebells,compound,intermediate,compound
pirate ships,1,Kettlebell Pirate Ships,strength,,shoulders,kettlebells,compound,beginner,compound
seesaw press,1,Kettlebell Seesaw Press,strength,,shoulders,kettlebells,compound,intermediate,compound
sumo pull,1,Kettlebell Sumo High Pull,strength,,traps,kettlebells,compound,intermediate,compound
thruster,1,Kettlebell Thruster,strength,,shoulders,kettlebells,compound,intermediate,compound
turkish get up lunge style,1,Kettlebell Turkish Get-Up (Lunge style),strength,,shoulders,kettlebells,compound,intermediate,compound
turkish get up squat style,1,Kettlebell Turkish Get-Up (Squat style),strength,,shoulders,kettlebells,compound,intermediate,compound
windmill,1,Kettlebell Windmill,strength,Windmill,abdominals,kettlebells,compound,intermediate,compound
kipping muscle up,1,Kipping Muscle Up,strength,,lats,other,compound,intermediate,compound
knee across,1,Knee Across The Body,stretching,,glutes,,,beginner,mobility
knee circles,1,Knee Circles,stretching,,calves,body only,compound,beginner,mobility
knee hip raise parallel bars,1,Knee/Hip Raise On Parallel Bars,strength,,abdominals,other,isolation,beginner,isolation
knee tuck jump,1,Knee Tuck Jump,plyometrics,,hamstrings,body only,compound,beginner,plyometric
kneeling drill,1,Kneeling Arm Drill,plyometrics,,shoulders,,,beginner,plyometric
kneeling crunch oblique twists,1,Kneeling Cable Crunch With Alternating Oblique Twists,strength,,abdominals,cable,isolation,beginner,isolation
kneeling triceps extension,1,Kneeling Cable Triceps Extension,strength,,triceps,cable,isolation,intermediate,isolation
kneeling forearm stretch,1,Kneeling Forearm Stretch,stretching,,forearms,,isolation,beginner,mobility
kneeling hip flexor,1,Kneeling Hip Flexor,stretching,,quadriceps,,isolation,beginner,mobility
kneeling jump squat,1,Kneeling Jump Squat,olympic weightlifting,,glutes,barbell,compound,expert,compound
kneeling squat,1,Kneeling Squat,powerlifting,,glutes,barbell,compound,intermediate,compound
landmine 180 s,1,Landmine 180's,strength,,abdominals,barbell,compound,beginner,compound
landmine linear jammer,1,Landmine Linear Jammer,strength,,shoulders,barbell,compound,intermediate,compound
lateral box jump,1,Lateral Box Jump,plyometrics,,adductors,other,compound,beginner,plyometric
lateral cone hops,1,Lateral Cone Hops,plyometrics,,adductors,other,compound,beginner,plyometric
latissimus dorsi smr,1,Latissimus Dorsi-SMR,stretching,,lats,foam roll,isolation,beginner,mobility
up hamstring stretch,1,Leg-Up Hamstring Stretch,stretching,,hamstrings,,isolation,beginner,mobility
pull in,1,Leg Pull-In,strength,,abdominals,body only,compound,beginner,compound
leverage chest press,1,Leverage Chest Press,strength,,chest,machine,compound,beginner,compound
leverage deadlift,1,Leverage Deadlift,strength,,quadriceps,machine,compound,beginner,compound
leverage decline chest press,1,Leverage Decline Chest Press,strength,,chest,machine,compound,beginner,compound
leverage row,1,Leverage High Row,strength,,middle back,machine,compound,beginner,compound
leverage incline chest press,1,Leverage Incline Chest Press,strength,,chest,machine,compound,beginner,compound
leverage iso row,1,Leverage Iso Row,strength,,lats,machine,compound,beginner,compound
leverage shoulder press,1,Leverage Shoulder Press,strength,,shoulders,machine,compound,beginner,compound
leverage shrug,1,Leverage Shrug,strength,,traps,machine,isolation,beginner,isolation
linear 3 part start technique,1,Linear 3-Part Start Technique,plyometrics,,hamstrings,,compound,beginner,plyometric
linear acceleration wall drill,1,Linear Acceleration Wall Drill,plyometrics,,hamstrings,,compound,beginner,plyometric
linear depth jump,1,Linear Depth Jump,plyometrics,,quadriceps,other,compound,intermediate,plyometric
log lift,1,Log Lift,strongman,,shoulders,other,compound,intermediate,compound
london bridges,1,London Bridges,strength,,lats,other,compound,intermediate,compound
looking at ceiling,1,Looking At Ceiling,stretching,,quadriceps,,isolation,beginner,mobility
pulley row neck,1,Low Pulley Row To Neck,strength,,shoulders,cable,compound,beginner,compound
lower back smr,1,Lower Back-SMR,stretching,,lower back,foam roll,,beginner,mobility
lower back curl,1,Lower Back Curl,stretching,,abdominals,body only,,beginner,mobility
lunge pass through,1,Lunge Pass Through,strength,,hamstrings,kettlebells,compound,intermediate,compound
lunge sprint,1,Lunge Sprint,strength,,quadriceps,machine,compound,intermediate,compound
groin,1,Lying Bent Leg Groin,stretching,,adductors,other,,expert,mobility
cambered row,1,Lying Cambered Barbell Row,strength,,middle back,barbell,isolation,beginner,isolation
bar curl pulley,1,Lying Close-Grip Bar Curl On High Pulley,strength,,biceps,cable,isolation,beginner,isolation
triceps extension behind head,1,Lying Close-Grip Barbell Triceps Extension Behind The Head,strength,,triceps,barbell,isolation,intermediate,isolation
triceps press chin,1,Lying Close-Grip Barbell Triceps Press To Chin,strength,,triceps,e-z curl bar,isolation,intermediate,isolation
face down neck,1,Lying Face Down Plate Neck Resistance,strength,,neck,other,isolation,intermediate,isolation
face up neck,1,Lying Face Up Plate Neck Resistance,strength,,neck,other,isolation,intermediate,isolation
bench curl,1,Lying High Bench Barbell Curl,strength,,biceps,barbell,isolation,intermediate,isolation
prone quadriceps,1,Lying Prone Quadriceps,stretching,,quadriceps,body only,,expert,mobility
supine curl,1,Lying Supine Dumbbell Curl,strength,,biceps,dumbbell,isolation,beginner,isolation
preacher curls,1,Machine Preacher Curls,strength,,biceps,machine,isolation,beginner,isolation
shoulder military press,1,Machine Shoulder (Military) Press,strength,,shoulders,machine,compound,beginner,compound
medicine ball chest pass,1,Medicine Ball Chest Pass,plyometrics,,chest,medicine ball,compound,beginner,plyometric
medicine ball twist,1,Medicine Ball Full Twist,plyometrics,,abdominals,medicine ball,compound,beginner,plyometric
medicine ball scoop throw,1,Medicine Ball Scoop Throw,plyometrics,,shoulders,medicine ball,compound,beginner,plyometric
middle back shrug,1,Middle Back Shrug,strength,,middle back,dumbbell,isolation,intermediate,isolation
middle back stretch,1,Middle Back Stretch,stretching,,middle back,,isolation,beginner,mobility
mixed chin,1,Mixed Grip Chin,strength,,middle back,other,compound,expert,compound
moving claw series,1,Moving Claw Series,plyometrics,,hamstrings,,compound,beginner,plyometric
muscle snatch,1,Muscle Snatch,olympic weightlifting,,hamstrings,barbell,compound,intermediate,compound
muscle up,1,Muscle Up,strength,,lats,other,compound,intermediate,compound
narrow stance hack squats,1,Narrow Stance Hack Squats,strength,,quadriceps,machine,compound,intermediate,compound
narrow stance press,1,Narrow Stance Leg Press,strength,,quadriceps,machine,compound,intermediate,compound
narrow stance squats,1,Narrow Stance Squats,strength,,quadriceps,barbell,compound,intermediate,compound
natural glute ham raise,1,Natural Glute Ham Raise,strength,Glute-Ham Raise,hamstrings,body only,compound,intermediate,compound
neck smr,1,Neck-SMR,stretching,,neck,other,,intermediate,mobility
neck press,1,Neck Press,strength,,chest,barbell,compound,intermediate,compound
your back quad stretch,1,On-Your-Back Quad Stretch,stretching,,quadriceps,other,isolation,beginner,mobility
your side quad stretch,1,On Your Side Quad Stretch,stretching,,quadriceps,,isolation,beginner,mobility
flat bench flye,1,One-Arm Flat Bench Dumbbell Flye,strength,,chest,dumbbell,isolation,beginner,isolation
pulley side bends,1,One-Arm High-Pulley Cable Side Bends,strength,,abdominals,cable,isolation,beginner,isolation
incline lateral raise,1,One-Arm Incline Lateral Raise,strength,,shoulders,dumbbell,isolation,beginner,isolation
military press side,1,One-Arm Kettlebell Military Press To The Side,strength,,shoulders,kettlebells,compound,intermediate,compound
para press,1,One-Arm Kettlebell Para Press,strength,,shoulders,kettlebells,compound,intermediate,compound
swings,1,One-Arm Kettlebell Swings,strength,,hamstrings,kettlebells,compound,intermediate,compound
medicine ball slam,1,One-Arm Medicine Ball Slam,strength,,abdominals,medicine ball,compound,beginner,compound
overhead squats,1,One-Arm Overhead Kettlebell Squats,strength,,quadriceps,kettlebells,compound,expert,compound
side deadlift,1,One-Arm Side Deadlift,strength,,quadriceps,barbell,compound,expert,compound
side laterals,1,One-Arm Side Laterals,strength,,shoulders,dumbbell,isolation,beginner,isolation
legged kickback,1,One-Legged Cable Kickback,strength,,glutes,cable,isolation,intermediate,isolation
against wall,1,One Arm Against Wall,stretching,,lats,,isolation,beginner,mobility
pronated triceps extension,1,One Arm Pronated Dumbbell Triceps Extension,strength,,triceps,dumbbell,isolation,beginner,isolation
supinated triceps extension,1,One Arm Supinated Dumbbell Triceps Extension,strength,,triceps,dumbbell,isolation,beginner,isolation
locust,1,One Half Locust,stretching,,quadriceps,,,beginner,mobility
handed hang,1,One Handed Hang,stretching,,lats,other,,beginner,mobility
knee chest,1,One Knee To Chest,stretching,,glutes,,compound,beginner,mobility
otis up,1,Otis-Up,strength,,abdominals,other,compound,beginner,compound
overhead curl,1,Overhead Cable Curl,strength,,biceps,cable,isolation,intermediate,isolation
overhead lat,1,Overhead Lat,stretching,,lats,other,,expert,mobility
overhead slam,1,Overhead Slam,plyometrics,,lats,medicine ball,compound,beginner,plyometric
overhead squat,1,Overhead Squat,olympic weightlifting,,quadriceps,barbell,compound,expert,compound
overhead triceps,1,Overhead Triceps,stretching,,triceps,body only,,expert,mobility
pallof press rotation,1,Pallof Press With Rotation,strength,,abdominals,cable,compound,beginner,compound
parallel bar dip,1,Parallel Bar Dip,strength,,triceps,other,compound,beginner,compound
pelvic tilt into bridge,1,Pelvic Tilt Into Bridge,stretching,,lower back,,compound,intermediate,mobility
peroneals smr,1,Peroneals-SMR,stretching,,calves,foam roll,,intermediate,mobility
peroneals stretch,1,Peroneals Stretch,stretching,,calves,other,,intermediate,mobility
physioball hip bridge,1,Physioball Hip Bridge,strength,,glutes,exercise ball,compound,beginner,compound
piriformis smr,1,Piriformis-SMR,stretching,,glutes,foam roll,isolation,intermediate,mobility
pinch,1,Plate Pinch,strength,,forearms,other,isolation,intermediate,isolation
platform hamstring slides,1,Platform Hamstring Slides,strength,,hamstrings,other,isolation,beginner,isolation
plie squat,1,Plie Dumbbell Squat,strength,,quadriceps,dumbbell,compound,beginner,compound
plyo pushups,1,Plyo Kettlebell Pushups,strength,,chest,kettlebells,compound,expert,compound
plyo push up,1,Plyo Push-up,plyometrics,,chest,body only,compound,beginner,plyometric
posterior tibialis stretch,1,Posterior Tibialis Stretch,stretching,,calves,other,,intermediate,mobility
power clean from blocks,1,Power Clean from Blocks,olympic weightlifting,,hamstrings,barbell,compound,intermediate,compound
power jerk,1,Power Jerk,olympic weightlifting,,quadriceps,barbell,compound,expert,compound
power partials,1,Power Partials,strength,,shoulders,dumbbell,isolation,beginner,isolation
power snatch,1,Power Snatch,olympic weightlifting,,hamstrings,barbell,compound,expert,compound
power snatch from blocks,1,Power Snatch from Blocks,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
power stairs,1,Power Stairs,strongman,,hamstrings,other,compound,intermediate,compound
preacher hammer curl,1,Preacher Hammer Dumbbell Curl,strength,,biceps,dumbbell,isolation,beginner,isolation
press sit up,1,Press Sit-Up,strength,,abdominals,barbell,compound,expert,compound
prone manual hamstring,1,Prone Manual Hamstring,strength,,hamstrings,,isolation,beginner,isolation
prowler sprint,1,Prowler Sprint,cardio,,hamstrings,other,compound,beginner,cardio
pull through,1,Pull Through,strength,Cable Pull Through,glutes,cable,compound,beginner,compound
push ups triceps position,1,Push-Ups - Close Triceps Position,strength,,triceps,body only,compound,intermediate,compound
push ups feet elevated,1,Push-Ups With Feet Elevated,strength,,chest,body only,compound,beginner,compound
push ups feet an exercise ball,1,Push-Ups With Feet On An Exercise Ball,strength,,chest,exercise ball,compound,intermediate,compound
push press behind neck,1,Push Press - Behind the Neck,olympic weightlifting,,shoulders,barbell,compound,intermediate,compound
push up side plank,1,Push Up to Side Plank,strength,,chest,body only,compound,beginner,compound
pushups hand positions,1,Pushups (Close and Wide Hand Positions),strength,,chest,body only,compound,beginner,compound
pyramid,1,Pyramid,stretching,,lower back,exercise ball,,beginner,mobility
quad stretch,1,Quad Stretch,stretching,,quadriceps,other,,intermediate,mobility
quadriceps smr,1,Quadriceps-SMR,stretching,,quadriceps,foam roll,isolation,intermediate,mobility
quick leap,1,Quick Leap,plyometrics,,quadriceps,other,compound,beginner,plyometric
rack delivery,1,Rack Delivery,olympic weightlifting,,shoulders,barbell,compound,intermediate,compound
rack pull,1,Rack Pull with Bands,powerlifting,,lower back,barbell,compound,intermediate,compound
rack pulls,1,Rack Pulls,powerlifting,,lower back,barbell,compound,intermediate,compound
rear raises,1,Rear Leg Raises,stretching,,quadriceps,body only,,beginner,mobility
recumbent bike,1,Recumbent Bike,cardio,,quadriceps,machine,,beginner,cardio
return push from stance,1,Return Push from Stance,plyometrics,,shoulders,medicine ball,compound,beginner,plyometric
reverse bench press,1,Reverse Band Bench Press,powerlifting,,triceps,barbell,compound,intermediate,compound
reverse box squat,1,Reverse Band Box Squat,powerlifting,,quadriceps,barbell,compound,intermediate,compound
reverse deadlift,1,Reverse Band Deadlift,powerlifting,,lower back,barbell,compound,expert,compound
reverse power squat,1,Reverse Band Power Squat,powerlifting,,quadriceps,barbell,compound,expert,compound
reverse sumo deadlift,1,Reverse Band Sumo Deadlift,powerlifting,,hamstrings,barbell,compound,expert,compound
reverse preacher curls,1,Reverse Barbell Preacher Curls,strength,,biceps,e-z curl bar,isolation,intermediate,isolation
reverse flyes external rotation,1,Reverse Flyes With External Rotation,strength,,shoulders,dumbbell,isolation,intermediate,isolation
reverse rows,1,Reverse Grip Bent-Over Rows,strength,,middle back,barbell,compound,intermediate,compound
reverse triceps pushdown,1,Reverse Grip Triceps Pushdown,strength,,triceps,cable,isolation,beginner,isolation
reverse flyes,1,Reverse Machine Flyes,strength,,shoulders,machine,isolation,beginner,isolation
reverse triceps bench press,1,Reverse Triceps Bench Press,strength,,triceps,barbell,compound,intermediate,compound
rhomboids smr,1,Rhomboids-SMR,stretching,,middle back,foam roll,,intermediate,mobility
rickshaw carry,1,Rickshaw Carry,strongman,,forearms,other,compound,intermediate,compound
rickshaw deadlift,1,Rickshaw Deadlift,strongman,,quadriceps,other,compound,intermediate,compound
ring dips,1,Ring Dips,strength,,triceps,other,compound,intermediate,compound
rocket jump,1,Rocket Jump,plyometrics,,quadriceps,body only,compound,beginner,plyometric
rocky pull ups pulldowns,1,Rocky Pull-Ups/Pulldowns,strength,,lats,other,compound,intermediate,compound
romanian deadlift from deficit,1,Romanian Deadlift from Deficit,olympic weightlifting,,hamstrings,barbell,compound,intermediate,compound
climb,1,Rope Climb,strength,,lats,other,compound,intermediate,compound
jumping,1,Rope Jumping,cardio,,quadriceps,other,,intermediate,cardio
round world shoulder stretch,1,Round The World Shoulder Stretch,stretching,,shoulders,other,,beginner,mobility
rowing stationary,1,"Rowing, Stationary",cardio,,quadriceps,machine,,intermediate,cardio
runner s stretch,1,Runner's Stretch,stretching,,hamstrings,,,beginner,mobility
running treadmill,1,"Running, Treadmill",cardio,,quadriceps,machine,,beginner,cardio
russian twist,1,Russian Twist,strength,Russian Twist,abdominals,body only,compound,intermediate,compound
sandbag load,1,Sandbag Load,strongman,,quadriceps,other,compound,beginner,compound
scapular pull up,1,Scapular Pull-Up,strength,,traps,,isolation,beginner,isolation
scissor kick,1,Scissor Kick,stretching,,abdominals,body only,isolation,beginner,mobility
scissors jump,1,Scissors Jump,plyometrics,,quadriceps,body only,compound,beginner,plyometric
hamstring curl,1,Seated Band Hamstring Curl,strength,,hamstrings,other,isolation,beginner,isolation
biceps,1,Seated Biceps,stretching,,biceps,body only,isolation,expert,mobility
front deltoid,1,Seated Front Deltoid,stretching,,shoulders,body only,,expert,mobility
good mornings,1,Seated Good Mornings,powerlifting,Good Morning,lower back,barbell,compound,intermediate,compound
head harness neck,1,Seated Head Harness Neck Resistance,strength,,neck,other,isolation,intermediate,isolation
tucks,1,Seated Leg Tucks,strength,,abdominals,body only,isolation,beginner,isolation
pulley rows,1,Seated One-arm Cable Pulley Rows,strength,,middle back,cable,compound,intermediate,compound
palm up wrist curl,1,Seated Palm-Up Barbell Wrist Curl,strength,,forearms,barbell,isolation,beginner,isolation
side lateral raise,1,Seated Side Lateral Raise,strength,,shoulders,dumbbell,isolation,beginner,isolation
palms up pulley wrist curl,1,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,strength,,forearms,cable,isolation,beginner,isolation
see saw press side press,1,See-Saw Press (Alternating Side Press),strength,,shoulders,dumbbell,compound,intermediate,compound
shotgun row,1,Shotgun Row,strength,,lats,cable,compound,beginner,compound
shoulder circles,1,Shoulder Circles,stretching,,shoulders,,,beginner,mobility
shoulder raise,1,Shoulder Raise,stretching,,shoulders,,,beginner,mobility
shoulder stretch,1,Shoulder Stretch,stretching,,shoulders,,,beginner,mobility
side stretch,1,Side-Lying Floor Stretch,stretching,,lats,,,beginner,mobility
side hop sprint,1,Side Hop-Sprint,plyometrics,,quadriceps,other,compound,beginner,plyometric
side jackknife,1,Side Jackknife,strength,,abdominals,body only,compound,beginner,compound
side laterals front raise,1,Side Laterals to Front Raise,strength,,shoulders,dumbbell,isolation,beginner,isolation
side groin stretch,1,Side Lying Groin Stretch,stretching,,adductors,,isolation,beginner,mobility
side neck stretch,1,Side Neck Stretch,stretching,,neck,,isolation,beginner,mobility
side side chins,1,Side To Side Chins,strength,,lats,other,compound,intermediate,compound
side wrist pull,1,Side Wrist Pull,stretching,,shoulders,,isolation,beginner,mobility
side side box shuffle,1,Side to Side Box Shuffle,plyometrics,,quadriceps,other,compound,beginner,plyometric
linear jammer,1,Single-Arm Linear Jammer,strength,,shoulders,barbell,compound,intermediate,compound
cone sprint drill,1,Single-Cone Sprint Drill,plyometrics,,quadriceps,other,,beginner,plyometric
hop progression,1,Single-Leg Hop Progression,plyometrics,,quadriceps,other,compound,beginner,plyometric
lateral hop,1,Single-Leg Lateral Hop,plyometrics,,quadriceps,other,compound,beginner,plyometric
stride jump,1,Single-Leg Stride Jump,plyometrics,,quadriceps,other,compound,beginner,plyometric
butt kick,1,Single Leg Butt Kick,plyometrics,,quadriceps,body only,compound,beginner,plyometric
push off,1,Single Leg Push-off,plyometrics,,quadriceps,other,compound,beginner,plyometric
sit squats,1,Sit Squats,stretching,,quadriceps,,,beginner,mobility
skating,1,Skating,cardio,,quadriceps,other,,intermediate,cardio
drag harness,1,Sled Drag - Harness,strongman,,quadriceps,other,compound,beginner,compound
overhead backward walk,1,Sled Overhead Backward Walk,strength,,shoulders,other,compound,beginner,compound
push,1,Sled Push,strongman,,quadriceps,other,compound,beginner,compound
reverse flye,1,Sled Reverse Flye,strength,,shoulders,other,isolation,beginner,isolation
sledgehammer swings,1,Sledgehammer Swings,plyometrics,,abdominals,other,compound,beginner,plyometric
behind back shrug,1,Smith Machine Behind the Back Shrug,strength,,traps,machine,isolation,beginner,isolation
hang power clean,1,Smith Machine Hang Power Clean,strength,Hang Clean,hamstrings,machine,compound,intermediate,compound
hip raise,1,Smith Machine Hip Raise,strength,,abdominals,machine,isolation,beginner,isolation
overhead shoulder press,1,Smith Machine Overhead Shoulder Press,strength,,shoulders,machine,compound,beginner,compound
reverse calf raises,1,Smith Machine Reverse Calf Raises,strength,,calves,machine,isolation,beginner,isolation
snatch balance,1,Snatch Balance,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
snatch deadlift,1,Snatch Deadlift,olympic weightlifting,,hamstrings,barbell,compound,intermediate,compound
snatch pull,1,Snatch Pull,strength,,hamstrings,barbell,compound,intermediate,compound
snatch shrug,1,Snatch Shrug,olympic weightlifting,,traps,barbell,compound,intermediate,compound
snatch from blocks,1,Snatch from Blocks,olympic weightlifting,,quadriceps,barbell,compound,expert,compound
speed overhead triceps,1,Speed Band Overhead Triceps,strength,,triceps,bands,isolation,beginner,isolation
speed box squat,1,Speed Box Squat,powerlifting,,quadriceps,barbell,compound,intermediate,compound
speed squats,1,Speed Squats,strength,,quadriceps,barbell,compound,expert,compound
spell caster,1,Spell Caster,strength,,abdominals,dumbbell,compound,beginner,compound
spider crawl,1,Spider Crawl,strength,,abdominals,body only,compound,beginner,compound
spider curl,1,Spider Curl,strength,,biceps,e-z curl bar,isolation,beginner,isolation
spinal stretch,1,Spinal Stretch,stretching,,middle back,,isolation,beginner,mobility
split clean,1,Split Clean,olympic weightlifting,,quadriceps,barbell,compound,intermediate,compound
split jump,1,Split Jump,plyometrics,,quadriceps,body only,compound,beginner,plyometric
split squat dumbbells,1,Split Squat with Dumbbells,strength,,quadriceps,dumbbell,compound,beginner,compound
squat jerk,1,Squat Jerk,strength,,quadriceps,barbell,compound,expert,compound
squat chains,1,Squat with Chains,powerlifting,,quadriceps,barbell,compound,intermediate,compound
squat movers,1,Squat with Plate Movers,strength,,quadriceps,barbell,compound,intermediate,compound
squats,1,Squats - With Bands,strength,,quadriceps,bands,compound,beginner,compound
stairmaster,1,Stairmaster,cardio,,quadriceps,machine,,intermediate,cardio
press behind neck,1,Standing Barbell Press Behind Neck,strength,,shoulders,barbell,compound,intermediate,compound
biceps curl,1,Standing Biceps Cable Curl,strength,,biceps,cable,isolation,beginner,isolation
biceps stretch,1,Standing Biceps Stretch,stretching,,biceps,other,isolation,beginner,mobility
bradford press,1,Standing Bradford Press,strength,,shoulders,barbell,compound,beginner,compound
wood chop,1,Standing Cable Wood Chop,strength,,abdominals,cable,compound,beginner,compound
straight front delt raise above head,1,Standing Dumbbell Straight-Arm Front Delt Raise Above Head,strength,,shoulders,dumbbell,isolation,intermediate,isolation
elevated quad stretch,1,Standing Elevated Quad Stretch,stretching,,quadriceps,other,,beginner,mobility
front raise head,1,Standing Front Barbell Raise Over Head,strength,,shoulders,barbell,isolation,intermediate,isolation
gastrocnemius calf stretch,1,Standing Gastrocnemius Calf Stretch,stretching,,calves,,,beginner,mobility
hip circles,1,Standing Hip Circles,stretching,,abductors,body only,isolation,beginner,mobility
hip flexors,1,Standing Hip Flexors,stretching,,quadriceps,,isolation,beginner,mobility
lateral stretch,1,Standing Lateral Stretch,stretching,,abdominals,,,beginner,mobility
pulley deltoid raise,1,Standing Low-Pulley Deltoid Raise,strength,,shoulders,cable,isolation,beginner,isolation
pulley triceps extension,1,Standing Low-Pulley One-Arm Triceps Extension,strength,,triceps,cable,isolation,intermediate,isolation
hand squeeze,1,Standing Olympic Plate Hand Squeeze,strength,,forearms,other,isolation,beginner,isolation
curl incline bench,1,Standing One-Arm Dumbbell Curl Over Incline Bench,strength,,biceps,dumbbell,isolation,beginner,isolation
overhead triceps extension,1,Standing Overhead Barbell Triceps Extension,strength,,triceps,barbell,isolation,beginner,isolation
palm in press,1,Standing Palm-In One-Arm Dumbbell Press,strength,,shoulders,dumbbell,compound,beginner,compound
palms in press,1,Standing Palms-In Dumbbell Press,strength,,shoulders,dumbbell,compound,intermediate,compound
palms up behind back wrist curl,1,Standing Palms-Up Barbell Behind The Back Wrist Curl,strength,,forearms,barbell,isolation,beginner,isolation
pelvic tilt,1,Standing Pelvic Tilt,stretching,,lower back,,isolation,beginner,mobility
soleus achilles stretch,1,Standing Soleus And Achilles Stretch,stretching,,calves,,isolation,beginner,mobility
toe touches,1,Standing Toe Touches,stretching,,hamstrings,,,beginner,mobility
towel triceps extension,1,Standing Towel Triceps Extension,strength,,triceps,body only,isolation,beginner,isolation
overhead throw,1,Standing Two-Arm Overhead Throw,plyometrics,,shoulders,medicine ball,compound,beginner,plyometric
star jump,1,Star Jump,plyometrics,,quadriceps,body only,compound,beginner,plyometric
step up knee raise,1,Step-up with Knee Raise,strength,,glutes,body only,compound,beginner,compound
step mill,1,Step Mill,cardio,,quadriceps,machine,,intermediate,cardio
stiff good morning,1,Stiff Leg Barbell Good Morning,strength,Good Morning,lower back,barbell,compound,beginner,compound
stomach vacuum,1,Stomach Vacuum,stretching,,abdominals,body only,isolation,beginner,mobility
straight pullover,1,Straight-Arm Dumbbell Pullover,strength,,chest,dumbbell,compound,intermediate,compound
straight bar bench mid rows,1,Straight Bar Bench Mid Rows,strength,,middle back,barbell,compound,beginner,compound
straight raises incline bench,1,Straight Raises on Incline Bench,strength,,shoulders,barbell,isolation,beginner,isolation
stride jump crossover,1,Stride Jump Crossover,plyometrics,,quadriceps,other,compound,beginner,plyometric
sumo deadlift chains,1,Sumo Deadlift with Chains,powerlifting,,hamstrings,barbell,compound,intermediate,compound
superman,1,Superman,stretching,,lower back,body only,compound,beginner,mobility
supine chest throw,1,Supine Chest Throw,plyometrics,,triceps,medicine ball,compound,beginner,plyometric
suspended fallout,1,Suspended Fallout,strength,,abdominals,other,isolation,intermediate,isolation
suspended push up,1,Suspended Push-Up,strength,,chest,other,compound,beginner,compound
suspended reverse crunch,1,Suspended Reverse Crunch,strength,,abdominals,other,isolation,beginner,isolation
suspended row,1,Suspended Row,strength,,middle back,other,compound,beginner,compound
suspended split squat,1,Suspended Split Squat,strength,,quadriceps,other,compound,intermediate,compound
svend press,1,Svend Press,strength,,chest,other,compound,beginner,compound
t bar row handle,1,T-Bar Row with Handle,strength,,middle back,barbell,compound,beginner,compound
tate press,1,Tate Press,strength,,triceps,dumbbell,isolation,intermediate,isolation
straddle,1,The Straddle,stretching,,hamstrings,,,beginner,mobility
thigh abductor,1,Thigh Abductor,strength,,abductors,machine,isolation,beginner,isolation
thigh adductor,1,Thigh Adductor,strength,,adductors,machine,isolation,beginner,isolation
tire flip,1,Tire Flip,strongman,,quadriceps,other,compound,intermediate,compound
toe touchers,1,Toe Touchers,stretching,,abdominals,body only,isolation,beginner,mobility
torso rotation,1,Torso Rotation,stretching,,abdominals,exercise ball,,beginner,mobility
trail running walking,1,Trail Running/Walking,cardio,,quadriceps,,,beginner,cardio
tricep kickback,1,Tricep Dumbbell Kickback,strength,,triceps,dumbbell,isolation,beginner,isolation
tricep side stretch,1,Tricep Side Stretch,stretching,,triceps,,,beginner,mobility
triceps overhead extension,1,Triceps Overhead Extension with Rope,strength,,triceps,cable,isolation,beginner,isolation
triceps pushdown attachment,1,Triceps Pushdown - Rope Attachment,strength,,triceps,cable,isolation,beginner,isolation
triceps pushdown v bar attachment,1,Triceps Pushdown - V-Bar Attachment,strength,,triceps,cable,isolation,beginner,isolation
triceps stretch,1,Triceps Stretch,stretching,,triceps,,isolation,beginner,mobility
